source_table,record_key,rule_id,rule_name,failure_reason,severity
customers,CUST-0131,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0113,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0142,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0124,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0066,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0099,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0104,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0010,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0006,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0004,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0044,DQ-CUST-EMAIL-FMT,email must match pattern if present,email is empty,quarantine
customers,CUST-0038,DQ-CUST-ID-DUP,customer_id must be unique,exact duplicate customer_id,quarantine
customers,CUST-0025,DQ-CUST-ID-DUP,customer_id must be unique,exact duplicate customer_id,quarantine
customers,CUST-0045,DQ-CUST-ID-DUP,customer_id must be unique,exact duplicate customer_id,quarantine
customers,CUST-0041,DQ-CUST-ID-DUP,customer_id must be unique,exact duplicate customer_id,quarantine
customers,CUST-0020,DQ-CUST-ID-DUP,customer_id must be unique,exact duplicate customer_id,quarantine
customers,CUST-0067,DQ-CUST-ID-DUP,customer_id must be unique,exact duplicate customer_id,quarantine
customers,CUST-0066,DQ-CUST-ID-DUP,customer_id must be unique,exact duplicate customer_id,quarantine
customers,CUST-1150,DQ-CUST-NEAR-DUP,no two customers share name+dob+address+tax_id,near-duplicate of CUST-0057,quarantine
customers,CUST-1151,DQ-CUST-NEAR-DUP,no two customers share name+dob+address+tax_id,near-duplicate of CUST-0053,quarantine
customers,CUST-1152,DQ-CUST-NEAR-DUP,no two customers share name+dob+address+tax_id,near-duplicate of CUST-0075,quarantine
customers,CUST-1153,DQ-CUST-NEAR-DUP,no two customers share name+dob+address+tax_id,near-duplicate of CUST-0001,quarantine
customers,CUST-1154,DQ-CUST-NEAR-DUP,no two customers share name+dob+address+tax_id,near-duplicate of CUST-0035,quarantine
customers,CUST-1155,DQ-CUST-NEAR-DUP,no two customers share name+dob+address+tax_id,near-duplicate of CUST-0032,quarantine
customers,CUST-1156,DQ-CUST-NEAR-DUP,no two customers share name+dob+address+tax_id,near-duplicate of CUST-0072,quarantine
employees,EMP-0021,DQ-EMP-EMAIL-UNIQ,email must be unique,duplicate email melissa.flynn@nab-mock.dev,quarantine
employees,EMP-0021,DQ-EMP-NAME-NEAR-DUP,flag near-duplicate employee names,near-duplicate of EMP-0001,quarantine
accounts,ACC-0225,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0033,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0214,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0079,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0179,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0173,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0116,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0115,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0112,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0182,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0060,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0095,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0178,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0198,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0010,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0216,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0001,DQ-ACC-CUST-FK,customer_id must exist in customers,orphan customer_id,quarantine
accounts,ACC-0018,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
accounts,ACC-0166,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
accounts,ACC-0138,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
accounts,ACC-0048,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
accounts,ACC-0202,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
accounts,ACC-0156,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
accounts,ACC-0220,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
accounts,ACC-0152,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
accounts,ACC-0103,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
accounts,ACC-0094,DQ-ACC-OPENDATE-FUTURE,open_date must not be in the future,future open_date,quarantine
cards,CARD-0139,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0183,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0092,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0062,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0041,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0142,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0054,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0009,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0207,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0070,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0197,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0053,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0198,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0002,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0257,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0076,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0259,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0050,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0179,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0155,DQ-CARD-PAN-LEAK,masked_pan must be masked (no full PAN),unmasked PAN leakage,quarantine
cards,CARD-0187,DQ-CARD-EXPIRED-ACTIVE,active card must not have a past expiry,expired-but-active,quarantine
cards,CARD-0015,DQ-CARD-EXPIRED-ACTIVE,active card must not have a past expiry,expired-but-active,quarantine
cards,CARD-0144,DQ-CARD-EXPIRED-ACTIVE,active card must not have a past expiry,expired-but-active,quarantine
cards,CARD-0139,DQ-CARD-EXPIRED-ACTIVE,active card must not have a past expiry,expired-but-active,quarantine
cards,CARD-0090,DQ-CARD-EXPIRED-ACTIVE,active card must not have a past expiry,expired-but-active,quarantine
