account_id,customer_id,product_type,open_date,status,currency
ACC-0001,CUST-9999,Debit,2024-06-29,active,AUD
ACC-0002,CUST-0124,Everyday,2021-11-28,active,AUD
ACC-0003,CUST-0125,Debit,2025-08-24,active,AUD
ACC-0004,CUST-0102,Savings,2024-12-26,active,AUD
ACC-0005,CUST-0145,Credit,2023-12-12,active,AUD
ACC-0006,CUST-0005,Savings,2021-04-07,dormant,AUD
ACC-0007,CUST-0087,Everyday,2021-06-23,active,AUD
ACC-0008,CUST-0004,Debit,2021-11-13,active,AUD
ACC-0009,CUST-0042,Savings,2024-11-05,active,AUD
ACC-0010,CUST-9999,Debit,2023-06-03,dormant,AUD
ACC-0011,CUST-0062,Credit,2025-03-24,active,AUD
ACC-0012,CUST-0074,Credit,2021-07-12,closed,AUD
ACC-0013,CUST-0084,Everyday,2021-08-04,active,AUD
ACC-0014,CUST-0084,Savings,2026-05-04,active,AUD
ACC-0015,CUST-0010,Credit,2024-04-27,closed,AUD
ACC-0016,CUST-0122,Debit,2026-03-08,dormant,AUD
ACC-0017,CUST-0015,Debit,2025-03-05,dormant,AUD
ACC-0018,CUST-0064,Everyday,2027-03-23,active,AUD
ACC-0019,CUST-0116,Everyday,2021-12-24,active,AUD
ACC-0020,CUST-0108,Credit,2024-09-04,active,AUD
ACC-0021,CUST-0112,Credit,2021-02-26,active,AUD
ACC-0022,CUST-0108,Debit,2021-06-01,active,AUD
ACC-0023,CUST-0013,Savings,2026-01-06,active,AUD
ACC-0024,CUST-0111,Debit,2024-11-11,dormant,AUD
ACC-0025,CUST-0132,Everyday,2022-01-08,closed,AUD
ACC-0026,CUST-0007,Debit,2021-04-15,active,AUD
ACC-0027,CUST-0084,Debit,2026-06-01,active,AUD
ACC-0028,CUST-0046,Debit,2023-10-28,active,AUD
ACC-0029,CUST-0012,Debit,2025-11-07,active,AUD
ACC-0030,CUST-0144,Debit,2022-07-13,active,AUD
ACC-0031,CUST-0059,Credit,2022-01-03,dormant,AUD
ACC-0032,CUST-0148,Credit,2024-05-12,active,AUD
ACC-0033,CUST-9999,Everyday,2023-07-15,active,AUD
ACC-0034,CUST-0092,Savings,2021-07-15,active,AUD
