attempt_id,transaction_id,decision,decline_reason,auth_ts
AUTH-000001,TXN-001063,approved,,2026-06-16T01:46:50Z
AUTH-000002,TXN-000969,approved,,2026-06-18T09:31:50Z
AUTH-000003,TXN-000782,declined,suspected_fraud,2026-06-28T21:33:01Z
AUTH-000004,TXN-001767,approved,,2026-06-22T17:39:07Z
AUTH-000005,TXN-000908,approved,,2026-06-16T16:28:06Z
AUTH-000006,TXN-001105,approved,,2026-06-24T19:38:26Z
AUTH-000007,TXN-001780,approved,,2026-08-01T23:17:55Z
AUTH-000008,TXN-000387,approved,,2026-06-24T17:45:17Z
AUTH-000009,TXN-000436,approved,,2026-06-18T17:56:17Z
AUTH-000010,TXN-001722,approved,,2026-06-14T12:28:07Z
AUTH-000011,TXN-000492,approved,,2026-07-17T15:45:23Z
AUTH-000012,TXN-000274,approved,,2027-04-19T11:12:44Z
AUTH-000013,TXN-000043,approved,,2026-07-03T21:19:11Z
AUTH-000014,TXN-001571,approved,,2026-06-29T04:25:01Z
AUTH-000015,TXN-001917,approved,,2026-06-14T08:31:27Z
AUTH-000016,TXN-001430,approved,,2026-06-25T08:12:27Z
AUTH-000017,TXN-001250,declined,insufficient_funds,2026-07-05T04:07:15Z
AUTH-000018,TXN-000410,approved,,2026-06-30T15:10:54Z
AUTH-000019,TXN-000343,approved,,2026-07-04T10:29:09Z
AUTH-000020,TXN-001312,approved,,2026-06-08T23:31:27Z
AUTH-000021,TXN-001252,approved,,2026-06-05T05:41:44Z
AUTH-000022,TXN-001738,approved,,2026-06-16T18:59:12Z
AUTH-000023,TXN-000212,approved,,2026-06-13T20:31:57Z
AUTH-000024,TXN-001803,approved,,2026-06-23T01:23:25Z
AUTH-000025,TXN-001833,approved,,2026-06-19T18:12:30Z
AUTH-000026,TXN-001492,approved,,2026-06-05T10:32:30Z
AUTH-000027,TXN-001133,approved,,2026-07-02T13:32:04Z
AUTH-000028,TXN-000111,approved,,2026-06-23T19:12:04Z
AUTH-000029,TXN-000144,approved,,2026-06-29T16:00:53Z
AUTH-000030,TXN-000787,approved,,2026-07-14T01:55:53Z
AUTH-000031,TXN-001531,approved,,2026-06-09T04:22:00Z
AUTH-000032,TXN-000279,approved,,2026-06-16T20:35:57Z
AUTH-000033,TXN-001567,approved,,2026-06-18T15:53:42Z
AUTH-000034,TXN-001674,approved,,2026-06-10T12:05:47Z
AUTH-000035,TXN-999999,declined,suspected_fraud,2026-06-07T13:09:42Z
AUTH-000036,TXN-000996,approved,,2026-06-05T19:03:34Z
AUTH-000037,TXN-000052,approved,,2026-11-12T19:03:38Z
AUTH-000038,TXN-001962,approved,,2026-06-26T18:59:44Z
