case_id,transaction_id,linked_at
CASE-0004,TXN-000067,2026-07-03T10:13:56Z
CASE-0004,TXN-000356,2026-06-08T02:45:44Z
CASE-0004,TXN-000024,2026-06-06T09:55:17Z
CASE-0001,TXN-000858,2026-06-07T16:55:41Z
CASE-0003,TXN-000550,2026-06-15T22:51:41Z
CASE-0005,TXN-001449,2026-06-16T02:20:17Z
CASE-0003,TXN-000995,2026-06-24T09:44:00Z
CASE-0004,TXN-000578,2026-06-10T21:40:03Z
CASE-0005,TXN-000696,2026-06-25T08:19:54Z
CASE-0005,TXN-001275,2026-06-26T04:26:29Z
CASE-0005,TXN-001531,2026-06-08T01:34:33Z
CASE-0003,TXN-001921,2026-07-05T07:13:48Z
CASE-0005,TXN-001812,2026-06-06T01:50:20Z
CASE-0002,TXN-000533,2026-06-19T13:23:37Z
CASE-0002,TXN-999999,2026-06-23T10:38:46Z
