dispute_id,transaction_id,reason_code,amount,status,raised_at
DSP-0001,TXN-000999,13.1,448.66,withdrawn,2026-07-03T07:40:48Z
DSP-0002,TXN-001693,13.1,444.42,open,2026-07-01T06:46:20Z
DSP-0003,TXN-001357,13.1,246.89,in_review,2026-06-26T19:53:33Z
DSP-0004,TXN-001618,10.4,229.64,open,2026-07-04T17:36:50Z
DSP-0005,TXN-000728,,190.79,resolved,2026-06-25T05:29:46Z
DSP-0006,TXN-001387,13.7,461.36,open,2026-07-05T16:27:07Z
DSP-0007,TXN-000391,13.1,402.64,in_review,2026-07-05T01:59:03Z
DSP-0008,TXN-001568,10.4,399.05,open,2026-06-29T02:18:44Z
DSP-0009,TXN-001676,10.4,293.00,withdrawn,2026-07-02T12:49:24Z
DSP-0010,TXN-001952,13.7,409.52,resolved,2026-07-04T12:38:35Z
DSP-0011,TXN-000563,13.7,8.42,resolved,2026-07-05T09:03:01Z
DSP-0012,TXN-999999,13.1,125.83,open,2026-07-01T22:34:24Z
DSP-0013,TXN-001441,13.7,367.70,resolved,2026-06-29T12:00:49Z
DSP-0014,TXN-000128,13.7,294.17,open,2026-07-05T09:54:04Z
DSP-0015,TXN-001861,10.4,229.12,resolved,2026-06-26T08:28:46Z
DSP-0016,TXN-001798,13.7,36.64,in_review,2026-07-02T04:07:00Z
DSP-0017,TXN-001561,13.7,389.60,Open,2026-06-28T21:34:19Z
DSP-0018,TXN-001118,13.1,296.04,resolved,2026-07-02T05:47:01Z
DSP-0019,TXN-001772,13.1,10.99,Open,2026-07-04T16:04:27Z
DSP-0020,TXN-000392,13.1,36.41,resolved,2026-06-28T03:29:33Z
DSP-0021,TXN-000650,13.7,80.73,withdrawn,2026-07-02T08:06:21Z
DSP-0022,TXN-002000,10.4,403.17,rejected,2026-07-04T07:03:49Z
DSP-0023,TXN-000068,10.4,270.70,withdrawn,2026-07-02T18:50:14Z
DSP-0024,TXN-000485,10.4,194.38,in_review,2026-07-04T00:13:43Z
DSP-0025,TXN-001239,10.4,419.65,withdrawn,2026-06-28T23:22:47Z
DSP-0026,TXN-999999,10.4,20.73,withdrawn,2026-07-02T12:08:12Z
DSP-0027,TXN-000982,13.7,345.37,rejected,2026-07-02T14:53:59Z
DSP-0028,TXN-001471,13.1,363.12,resolved,2026-07-02T03:26:23Z
DSP-0029,TXN-000565,13.1,80.99,resolved,2026-07-01T00:35:42Z
DSP-0030,TXN-000929,13.7,393.29,resolved,2026-06-29T06:30:09Z
DSP-0031,TXN-000722,13.7,462.78,withdrawn,2026-06-27T20:52:51Z
DSP-0032,TXN-001005,13.7,147.49,in_review,2026-06-27T11:28:55Z
DSP-0033,TXN-000648,10.4,28.94,resolved,2026-06-28T13:08:06Z
DSP-0034,TXN-000527,13.7,164.38,in_review,2026-07-04T23:12:54Z
DSP-0035,TXN-000998,10.4,6.21,open,2026-07-03T13:40:02Z
DSP-0036,TXN-999999,13.1,220.29,withdrawn,2026-07-01T02:05:21Z
DSP-0037,TXN-000489,13.1,286.13,rejected,2026-07-02T02:43:39Z
DSP-0038,TXN-000579,13.7,264.68,withdrawn,2026-07-04T14:50:11Z
DSP-0039,TXN-000840,13.7,35.79,open,2026-07-02T08:36:16Z
DSP-0040,TXN-000132,,204.53,in_review,2026-07-02T12:14:45Z
