merchant_id,name,mcc,country,risk_rating,status
MCH-0001,Smith Group,5499,GB,Low,active
MCH-0002,Anderson and Sons,7011,NZ,medium,active
MCH-0003,"Frazier, Smith and Dominguez",5812,US,high,suspended
MCH-0004,Mcneil Group,5411,US,low,closed
MCH-0005,"Anderson, Jones and Reyes",7011,AU,high,active
MCH-0006,"Shaffer, Garcia and Richardson",5732,AU,medium,active
MCH-0007,Taylor-Ayala,5732,GB,low,active
MCH-0008,May Ltd,5912,US,low,active
MCH-0009,Jones PLC,5732,NZ,HIGH,active
MCH-0010,Bishop and Sons,7011,GB,low,active
MCH-0011,Bell-Lewis,5411,US,medium,active
MCH-0012,"Hernandez, Jenkins and Parks",5499,AU,low,active
MCH-0013,Miller Inc,5912,SG,low,active
MCH-0014,Goodwin PLC,5812,SG,high,active
MCH-0015,"Cruz, Richmond and Edwards",7011,US,medium,active
MCH-0016,Wright Ltd,5812,US,high,active
MCH-0017,Wright PLC,5411,AU,medium,active
MCH-0018,"Griffith, Mitchell and Pugh",5499,SG,high,active
MCH-0019,Abbott Ltd,5912,SG,low,active
MCH-0020,Harris-Lawson,5499,GB,low,suspended
MCH-0021,Adkins LLC,5812,NZ,low,active
MCH-0022,"Brown, Hurst and Blevins",5812,NZ,high,closed
MCH-0023,Cruz-Allen,5499,SG,high,active
MCH-0024,"Wheeler, Rice and Levine",5912,AU,medium,active
MCH-0025,Peck-Anderson,5411,NZ,high,active
MCH-0026,"Fisher, Payne and Thompson",5732,NZ,high,active
MCH-0027,Best-Townsend,5499,AU,Low,active
MCH-0028,Matthews Inc,5411,US,low,active
MCH-0029,Lewis-Livingston,5411,US,low,active
MCH-0030,Hunter-Fuller,5499,US,high,active
MCH-0031,"Wang, Henderson and Morales",5912,US,High,active
MCH-0032,"Herrera, Jensen and Ramirez",5499,US,low,active
MCH-0033,Miller-Mccall,5912,AU,high,active
MCH-0034,Herrera Group,5499,US,high,active
MCH-0035,"Walters, Davenport and Becker",5912,NZ,high,active
MCH-0036,Collins Group,5812,AU,Low,active
MCH-0037,"Ashley, Allen and Sanchez",5411,GB,H,active
MCH-0038,Wilson-Salazar,7011,AU,low,active
MCH-0039,Parker Ltd,7011,SG,high,active
MCH-0040,"Yang, Wilson and Zimmerman",5912,AU,high,active
MCH-0041,"Smith, Crawford and Reed",7011,NZ,high,closed
MCH-0042,"Logan, Le and Jackson",5912,SG,low,active
MCH-0043,Brady LLC,5812,AU,low,active
MCH-0044,"Tanner, Wise and Johnson",5411,US,high,active
MCH-0045,Nelson-Brown,5812,NZ,medium,active
MCH-0046,"Proctor, Burton and Crawford",5732,US,high,active
MCH-0047,"Ward, Porter and Bradley",5411,SG,Low,active
MCH-0048,Moore-Ayala,5499,NZ,high,active
MCH-0049,"Craig, Wilson and Yang",5812,US,medium,active
MCH-0050,Williams Inc,5912,NZ,HIGH,suspended
MCH-0051,Williams LLC,7011,US,low,active
MCH-0052,Mora-White,5499,NZ,low,closed
MCH-0053,Tran Ltd,5812,US,medium,active
MCH-0054,"Rios, Walker and Wright",5499,NZ,medium,active
MCH-0055,"Flores, Mckenzie and Duncan",5499,SG,medium,suspended
MCH-0056,Shaw Inc,5499,SG,low,active
MCH-0057,Walker PLC,5499,AU,low,active
MCH-0058,Finley Inc,7011,GB,medium,active
MCH-0059,Cline-Ayala,5732,US,medium,active
MCH-0060,Murphy-Tran,5411,US,medium,active
MCH-0061,Wood LLC,5812,GB,low,suspended
MCH-0062,"Mueller, Stevenson and Sanchez",5732,SG,high,active
MCH-0063,Vargas-Snyder,5812,NZ,low,active
MCH-0064,Oconnor PLC,5912,US,low,active
MCH-0065,Hernandez Group,5812,US,M,active
MCH-0066,Hall LLC,5732,AU,medium,active
MCH-0067,"Franco, Wiley and Tapia",5812,US,high,active
MCH-0068,Blake Group,5411,AU,medium,active
MCH-0069,"Acosta, Garcia and Moreno",5732,SG,medium,active
MCH-0070,Barnes Inc,5732,GB,low,active
MCH-0071,Dawson Inc,5732,NZ,medium,active
MCH-0072,Morse PLC,5499,AU,high,active
MCH-0073,Haynes-Watson,5912,GB,medium,suspended
MCH-0074,"Miller, Davis and Anderson",5499,AU,low,active
MCH-0075,Jones-Bradley,5812,SG,low,active
MCH-0076,Bates-Anderson,7011,GB,high,active
MCH-0077,Green-Edwards,5732,GB,low,active
MCH-0078,Haynes-Moss,5812,GB,high,active
MCH-0079,Chavez-Hall,5812,GB,low,active
MCH-0080,Taylor PLC,5732,SG,high,active
MCH-0081,Moore and Sons,5912,GB,low,active
MCH-0082,Owens-Russell,5499,NZ,high,active
MCH-0083,"Howard, Townsend and Hayes",5812,AU,medium,active
MCH-0084,Baker-Wilson,5499,GB,medium,suspended
MCH-0085,Aguirre LLC,5411,SG,medium,active
MCH-0086,"Terry, Williams and Huff",7011,US,high,active
MCH-0087,Hernandez-Dawson,7011,SG,medium,active
MCH-0088,Foster-Williams,5732,SG,medium,active
MCH-0089,Green-Ewing,5732,GB,medium,active
MCH-0090,Crane Group,5812,AU,medium,active
MCH-0091,"Adkins, Wright and Murray",5411,GB,high,active
MCH-0092,Martinez Inc,5411,AU,high,active
MCH-0093,Anderson Group,5912,NZ,low,active
MCH-0094,Parks-Pace,5812,SG,high,active
MCH-0095,Aguilar LLC,5732,GB,high,active
MCH-0096,Johnson Inc,5732,AU,medium,active
MCH-0097,Orr Group,5812,US,high,active
MCH-0098,Davis LLC,5499,US,medium,active
MCH-0099,Williams Group,5499,GB,H,active
MCH-0100,Jackson PLC,5912,NZ,low,active
MCH-0101,Underwood-Foster,5411,US,HIGH,active
MCH-0102,Reyes Group,5912,US,high,active
MCH-0103,Gomez and Sons,7011,US,High,closed
MCH-0104,Ramirez-Stephenson,5812,AU,low,active
MCH-0105,Mendez PLC,5411,US,high,active
MCH-0106,Holland Group,5912,GB,low,active
MCH-0107,Andrade-Mendoza,5732,AU,high,active
MCH-0108,Ramirez and Sons,7011,US,medium,suspended
MCH-0109,Gonzalez-Wilkerson,7011,GB,medium,active
MCH-0110,"Wright, Mcknight and Stephens",5411,SG,medium,active
MCH-0111,Mayo Ltd,5499,SG,low,active
MCH-0112,Castillo-Harrington,5732,US,low,active
MCH-0113,Durham-Shaw,5812,NZ,low,active
MCH-0114,Nelson-Johnson,5812,SG,M,active
MCH-0115,"Robinson, Huang and Osborne",5812,NZ,medium,active
MCH-0116,Stokes Group,5912,NZ,medium,active
MCH-0117,"Howard, Silva and Hall",5912,NZ,medium,active
MCH-0118,Garcia Ltd,5732,SG,low,active
MCH-0119,Adams Ltd,5912,SG,low,active
MCH-0120,Gallagher and Sons,7011,SG,high,active
MCH-0121,"Bradford, Salinas and Kelly",5411,US,medium,active
MCH-0122,Thompson PLC,5812,AU,high,active
MCH-0123,Drake-Wolfe,5732,US,HIGH,active
MCH-0124,"Johnson, Haynes and Meza",5499,AU,high,suspended
MCH-0125,"Thomas, Vaughan and Copeland",5411,NZ,high,active
MCH-0126,Weaver-Thompson,5732,AU,high,active
MCH-0127,Davis and Sons,5411,US,medium,active
MCH-0128,"Robinson, Fox and Smith",5912,US,H,active
MCH-0129,"Harris, Anderson and Love",5912,SG,high,active
MCH-0130,Brown-Hernandez,5499,AU,high,active
MCH-0131,"Stark, Schroeder and Mathis",7011,SG,low,active
MCH-0132,Yu-Brooks,5812,AU,medium,active
MCH-0133,"Foster, Garcia and Turner",7011,NZ,medium,suspended
MCH-0134,Daugherty Ltd,5411,AU,high,active
MCH-0135,Conner-Yu,5411,SG,medium,active
