device_id,transaction_id,device_type,ip,geo_country
DEV-000001,TXN-001749,pos_terminal,177.147.202.170,AU
DEV-000002,TXN-001863,mobile_android,216.152.62.54,AU
DEV-000003,TXN-000447,web,147.101.64.156,NZ
DEV-000004,TXN-001475,mobile_ios,159.118.176.109,NZ
DEV-000005,TXN-000682,pos_terminal,200.233.109.171,NZ
DEV-000006,TXN-000411,mobile_android,111.22.251.39,SG
DEV-000007,TXN-000575,,154.172.103.133,AU
DEV-000008,TXN-999999,atm,200.192.114.54,GB
DEV-000009,TXN-000727,mobile_ios,154.15.20.67,NZ
DEV-000010,TXN-001594,pos_terminal,219.247.18.137,AU
DEV-000011,TXN-000868,web,42.44.154.198,NZ
DEV-000012,TXN-000757,mobile_ios,110.116.67.251,AU
DEV-000013,TXN-000181,mobile_android,16.237.36.176,NZ
DEV-000014,TXN-999999,mobile_ios,76.216.181.29,US
DEV-000015,TXN-000117,mobile_ios,93.54.116.125,GB
DEV-000016,TXN-001354,web,5.151.198.221,SG
DEV-000017,TXN-001484,pos_terminal,157.181.193.88,AU
DEV-000018,TXN-001643,mobile_android,211.246.196.53,GB
DEV-000019,TXN-000996,mobile_android,219.235.63.105,US
DEV-000020,TXN-000861,web,181.174.195.255,NZ
DEV-000021,TXN-000425,mobile_ios,187.49.59.173,US
DEV-000022,TXN-000806,atm,144.141.226.88,SG
DEV-000023,TXN-000915,mobile_android,193.46.71.217,US
DEV-000024,TXN-001550,mobile_android,131.45.123.151,AU
DEV-000025,TXN-000730,web,22.219.178.165,AU
DEV-000026,TXN-000760,atm,45.59.20.153,NZ
DEV-000027,TXN-001799,pos_terminal,176.164.68.215,NZ
DEV-000028,TXN-001696,web,212.59.234.193,SG
DEV-000029,TXN-001075,mobile_android,208.69.85.187,US
DEV-000030,TXN-000581,mobile_ios,83.140.166.210,GB
DEV-000031,TXN-000831,pos_terminal,199.140.254.107,GB
DEV-000032,TXN-001108,mobile_android,171.101.20.6,GB
DEV-000033,TXN-000120,pos_terminal,157.222.97.95,US
DEV-000034,TXN-999999,mobile_ios,188.181.121.63,NZ
DEV-000035,TXN-001532,atm,219.249.176.179,GB
DEV-000036,TXN-000593,pos_terminal,201.33.118.12,US
DEV-000037,TXN-001569,web,191.106.102.179,NZ
DEV-000038,TXN-000347,web,98.54.60.217,SG
DEV-000039,TXN-001293,atm,216.220.61.200,GB
DEV-000040,TXN-000691,atm,185.143.178.98,SG
DEV-000041,TXN-000381,mobile_ios,79.97.27.242,GB
DEV-000042,TXN-002000,web,28.238.95.211,GB
DEV-000043,TXN-000617,mobile_android,212.122.77.113,SG
DEV-000044,TXN-000542,web,223.234.122.104,NZ
DEV-000045,TXN-001152,pos_terminal,154.201.199.191,SG
DEV-000046,TXN-001788,web,130.66.170.164,GB
DEV-000047,TXN-001078,atm,202.97.60.143,NZ
DEV-000048,TXN-001824,,183.29.153.105,GB
DEV-000049,TXN-001515,atm,207.206.78.65,GB
DEV-000050,TXN-001459,atm,217.155.50.44,AU
DEV-000051,TXN-001061,pos_terminal,21.203.221.109,NZ
DEV-000052,TXN-000092,web,136.48.60.157,AU
DEV-000053,TXN-999999,web,213.219.178.40,NZ
DEV-000054,TXN-001227,mobile_android,196.91.113.105,GB
DEV-000055,TXN-000512,mobile_ios,103.58.116.143,AU
DEV-000056,TXN-000310,mobile_android,165.77.19.50,SG
DEV-000057,TXN-000470,atm,146.209.187.204,AU
DEV-000058,TXN-000464,web,167.135.81.91,GB
DEV-000059,TXN-001319,,18.71.102.57,US
DEV-000060,TXN-001116,mobile_android,170.122.177.7,NZ
DEV-000061,TXN-000822,web,217.140.33.93,GB
DEV-000062,TXN-001193,mobile_ios,137.166.90.170,GB
DEV-000063,TXN-001724,web,11.175.114.109,US
DEV-000064,TXN-000865,atm,172.245.35.102,AU
DEV-000065,TXN-001518,web,106.226.189.198,SG
DEV-000066,TXN-000780,mobile_android,124.181.17.107,GB
DEV-000067,TXN-001202,pos_terminal,176.38.156.237,SG
DEV-000068,TXN-001836,mobile_ios,138.202.111.205,AU
DEV-000069,TXN-001498,web,195.245.83.178,US
DEV-000070,TXN-001947,mobile_android,91.193.237.131,AU
DEV-000071,TXN-001639,mobile_ios,221.186.147.146,GB
DEV-000072,TXN-001089,pos_terminal,130.106.23.113,GB
DEV-000073,TXN-000683,pos_terminal,219.240.114.90,AU
DEV-000074,TXN-001462,atm,5.134.77.21,AU
DEV-000075,TXN-000060,mobile_ios,47.236.183.209,GB
DEV-000076,TXN-001510,atm,54.9.211.160,NZ
DEV-000077,TXN-000406,pos_terminal,152.140.23.73,US
DEV-000078,TXN-000976,web,205.86.14.174,GB
DEV-000079,TXN-000358,mobile_android,25.138.223.113,US
DEV-000080,TXN-000517,atm,149.159.23.81,GB
DEV-000081,TXN-000699,mobile_android,170.137.0.24,US
DEV-000082,TXN-001638,web,172.126.190.44,US
DEV-000083,TXN-000627,pos_terminal,181.70.185.198,GB
DEV-000084,TXN-001977,web,142.91.71.254,NZ
DEV-000085,TXN-000361,atm,198.91.8.72,AU
DEV-000086,TXN-001898,pos_terminal,213.104.82.178,AU
DEV-000087,TXN-001057,pos_terminal,102.38.66.153,SG
DEV-000088,TXN-001698,pos_terminal,171.5.237.152,SG
DEV-000089,TXN-001053,web,204.98.57.12,NZ
DEV-000090,TXN-000592,mobile_ios,208.161.185.127,SG
DEV-000091,TXN-000127,mobile_android,58.172.115.109,NZ
DEV-000092,TXN-001337,atm,144.44.221.62,SG
DEV-000093,TXN-001616,mobile_android,182.147.106.17,GB
DEV-000094,TXN-000283,atm,200.9.135.33,NZ
DEV-000095,TXN-000743,,134.118.116.45,GB
DEV-000096,TXN-001133,web,205.24.233.48,GB
DEV-000097,TXN-001667,mobile_android,161.173.186.140,AU
DEV-000098,TXN-000079,pos_terminal,202.60.71.180,NZ
DEV-000099,TXN-001059,mobile_ios,134.205.6.77,US
DEV-000100,TXN-001522,mobile_ios,140.200.177.162,NZ
DEV-000101,TXN-000092,web,163.58.13.170,US
DEV-000102,TXN-000011,atm,185.115.132.94,AU
DEV-000103,TXN-001551,mobile_ios,95.196.70.141,GB
DEV-000104,TXN-000542,pos_terminal,62.195.50.182,US
DEV-000105,TXN-001942,pos_terminal,128.208.226.217,US
DEV-000106,TXN-000788,atm,211.136.166.106,NZ
DEV-000107,TXN-000951,mobile_android,200.152.185.85,NZ
