transaction_id,account_id,card_id,merchant_id,channel,amount,currency,txn_ts,status
TXN-000001,ACC-0210,CARD-0123,MCH-0064,mobile,363.38,AUD,2026-06-18T14:14:37Z,authorized
TXN-000002,ACC-9999,CARD-9999,MCH-0073,pos,23.91,AUD,2026-06-06T15:13:31Z,declined
TXN-000003,ACC-0159,CARD-0245,MCH-0064,pos,219.83,AUD,2026-07-04T11:28:10Z,settled
TXN-000004,ACC-0044,CARD-0094,MCH-0081,pos,-266.59,AUD,2026-06-22T09:17:45Z,settled
TXN-000005,ACC-0127,CARD-0170,MCH-0110,online,355.09,AUD,2026-06-05T13:14:54Z,settled
TXN-000006,ACC-0209,CARD-0134,MCH-0159,mobile,132.23,AUD,2026-06-28T22:43:42Z,settled
TXN-000007,ACC-0145,CARD-0049,MCH-0146,online,28.10,AUD,2026-06-19T09:51:12Z,settled
TXN-000008,ACC-0152,CARD-0032,MCH-0167,atm,130.79,AUD,2026-10-05T10:01:27Z,settled
TXN-000009,ACC-0013,CARD-0052,MCH-0090,online,261.25,AUD,2026-07-01T23:20:34Z,settled
TXN-000010,ACC-0066,CARD-0154,MCH-0074,mobile,67.33,AUD,2026-06-29T13:35:28Z,settled
TXN-000011,ACC-0137,CARD-0003,MCH-0072,mobile,134.10,AUD,2026-06-11T09:06:24Z,settled
TXN-000012,ACC-0117,CARD-0115,MCH-0117,mobile,296.33,AUD,2026-07-01T13:12:37Z,settled
TXN-000013,ACC-0124,CARD-0052,MCH-0167,pos,282.30,AUD,2026-06-05T21:52:30Z,settled
TXN-000014,ACC-0178,CARD-0175,MCH-0051,pos,450.28,GBP,2026-06-12T13:33:39Z,settled
TXN-000015,ACC-0034,CARD-0212,MCH-0055,atm,133.97,AUD,2026-06-08T10:00:35Z,settled
TXN-000016,ACC-0178,CARD-0262,MCH-0050,pos,7.59,AUD,2026-06-14T13:04:51Z,settled
TXN-000017,ACC-9999,CARD-9999,MCH-0045,mobile,440.26,AUD,2026-06-25T16:58:28Z,settled
TXN-000018,ACC-0208,CARD-0075,MCH-0185,online,59.88,AUD,2026-06-30T10:35:24Z,settled
TXN-000019,ACC-0067,CARD-0206,MCH-0130,mobile,200.43,AUD,2026-07-04T07:19:52Z,settled
TXN-000020,ACC-0176,CARD-0260,MCH-0123,online,220.93,AUD,2026-06-10T22:02:52Z,settled
TXN-000021,ACC-0221,CARD-0008,MCH-0034,online,322.05,AUD,2026-06-30T21:40:03Z,settled
TXN-000022,ACC-0003,CARD-0147,MCH-0118,mobile,273.29,USD,2026-06-29T09:25:28Z,settled
TXN-000023,ACC-0027,CARD-0207,MCH-0114,atm,325.01,AUD,2026-06-06T16:46:26Z,settled
TXN-000024,ACC-0163,CARD-0204,MCH-0075,atm,199.12,GBP,2026-06-06T16:42:47Z,settled
TXN-000025,ACC-0104,CARD-0215,,atm,38.81,AUD,2026-06-28T02:47:16Z,settled
TXN-000026,ACC-0203,CARD-0042,MCH-0107,mobile,244.27,AUD,2026-06-09T00:25:51Z,settled
TXN-000027,ACC-0194,CARD-0262,MCH-0098,online,425.48,USD,2026-06-24T19:31:15Z,settled
TXN-000028,ACC-0072,CARD-0154,MCH-0042,pos,444.20,AUD,2026-07-05T23:14:37Z,authorized
TXN-000029,ACC-0208,CARD-0083,MCH-0029,pos,133.90,AUD,2026-06-28T23:52:48Z,reversed
TXN-000030,ACC-0139,CARD-0270,MCH-0132,online,66.35,AUD,2026-06-07T09:36:49Z,settled
TXN-000031,ACC-0187,CARD-0096,MCH-0155,pos,470.22,AUD,2026-06-30T00:55:04Z,settled
TXN-000032,ACC-0096,CARD-0096,MCH-0161,pos,36.96,AUD,2026-06-14T00:38:13Z,settled
